score,tokens,neg_scores,neu_scores,pos_scores,compound_scores,NOUN,PRON,VERB,ADJ,ADV
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,thought sleep option tomorrow realiz evalu morn work afternoon,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,life cool,0.0,0.303,0.697,0.3182,1.0,0.0,1.0,0.0,0.0
0.0,im sooo sad kill kutner hous whyyyyyyyy,0.609,0.391,0.0,-0.8316,1.0,0.0,1.0,1.0,0.0
0.0,aaw miss ya im leav bh tomorrow morn think aww wanna go beach w u girl,0.096,0.904,0.0,-0.1531,1.0,0.0,0.0,0.0,0.0
0.0,know right dunno go twitter,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,help forget 8th april 13th juli,0.221,0.465,0.314,0.2023,1.0,0.0,1.0,1.0,0.0
0.0,doesnt work fan upset,0.319,0.325,0.355,0.0572,1.0,0.0,0.0,1.0,0.0
0.0,dont understand thing get taken away didnt enough time unfair want back like babi,0.0,0.634,0.366,0.6546,1.0,0.0,2.0,1.0,1.0
0.0,help need new boyfriend im stuck rut,0.206,0.515,0.278,0.1779,1.0,0.0,1.0,0.0,0.0
0.0,feel like complet idiot im one doesnt get shit work help,0.179,0.38,0.441,0.5892,1.0,0.0,3.0,1.0,1.0
0.0,wait airport ride get harass 2 men tri sell ugli hat want sleep,0.206,0.71,0.084,-0.4404,1.0,0.0,0.0,0.0,0.0
0.0,one left got tempt ate soon got home chocol velvet ate mocha,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0
0.0,itll take 3 day sister get passport,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,neg lost vote confid,0.434,0.566,0.0,-0.3182,1.0,0.0,0.0,0.0,0.0
0.0,twilight didnt come yesterday finger cross today,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
0.0,morn good im bloodi knacker work today helppp xxx,0.0,0.734,0.266,0.4404,1.0,0.0,0.0,1.0,1.0
0.0,kutner mean knew someth go happen someon sad 3 hous well done im still sad,0.305,0.591,0.103,-0.6249,1.0,0.0,0.0,1.0,0.0
0.0,dont get statist bunch mumbo jumbo,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,lmao u may wait anoth season come thru summ boo hot nd dri ass weather,0.172,0.637,0.191,0.1027,1.0,1.0,1.0,1.0,0.0
0.0,find realli hard use twitter,0.259,0.741,0.0,-0.1027,1.0,0.0,2.0,2.0,1.0
0.0,finland sleep night realli enough time,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
0.0,dont want wake earli tomorrow damn work,0.44,0.56,0.0,-0.4445,1.0,0.0,1.0,1.0,0.0
0.0,hate homework head hurt bad,0.841,0.159,0.0,-0.891,1.0,0.0,2.0,0.0,0.0
0.0,got done watch hill love excit next episod im sad last season,0.179,0.578,0.243,0.2732,1.0,0.0,1.0,1.0,0.0
0.0,dont want believ im readingbuuso sad,0.519,0.481,0.0,-0.5142,2.0,0.0,3.0,1.0,0.0
0.0,feel like twitter tweetdeck,0.0,0.545,0.455,0.3612,1.0,1.0,2.0,1.0,0.0
0.0,awww sad im sorri,0.508,0.492,0.0,-0.4767,1.0,0.0,1.0,1.0,1.0
0.0,updatingff give noth good twenti minut,0.0,0.633,0.367,0.4404,1.0,0.0,0.0,0.0,0.0
0.0,man tax suck im horrifi someth wrong turbotax decid keep around lot stuff turn,0.333,0.667,0.0,-0.7184,1.0,0.0,2.0,1.0,1.0
0.0,school least last day,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
0.0,im 900 word ill finish tomorrow mayb,0.318,0.682,0.0,-0.4215,1.0,0.0,1.0,0.0,1.0
0.0,procrastin start earli quarter dont want reaaaaad write paper,0.133,0.867,0.0,-0.0572,1.0,0.0,2.0,1.0,0.0
0.0,kinda bum agenc told didnt look go ladi pleas help creat look,0.0,0.803,0.197,0.4019,1.0,0.0,1.0,1.0,0.0
0.0,that sad,0.756,0.244,0.0,-0.4767,1.0,0.0,1.0,1.0,0.0
